,userId,productId,ratings
0,411,115,1
1,244,122,0
2,755,102,0
3,391,126,0
4,778,109,1
5,910,107,1
6,280,108,1
7,846,109,1
8,124,125,1
9,292,117,1
10,990,113,1
11,131,118,0
12,859,116,0
13,351,112,0
14,722,105,0
15,503,115,0
16,372,114,1
17,894,113,0
18,391,130,1
19,865,104,1
20,793,128,1
21,91,112,0
22,645,107,0
23,584,104,0
24,872,122,1
25,679,115,1
26,884,115,0
27,977,128,0
28,350,110,0
29,222,115,1
30,209,118,0
31,522,119,0
32,590,113,0
33,752,128,0
34,547,117,1
35,787,127,0
36,854,125,0
37,327,121,1
38,233,123,0
39,720,125,1
40,534,128,0
41,768,104,1
42,632,104,0
43,839,121,1
44,965,128,1
45,674,120,1
46,830,123,0
47,756,129,0
48,560,103,1
49,91,127,0
50,787,110,0
51,518,126,0
52,297,110,1
53,608,116,1
54,524,121,0
55,207,104,0
56,342,103,0
57,131,126,1
58,364,118,1
59,123,113,0
60,173,128,1
61,64,107,0
62,29,105,0
63,187,103,0
64,294,112,0
65,615,118,1
66,736,127,1
67,972,110,1
68,555,105,0
69,780,125,0
70,843,124,1
71,836,115,1
72,182,102,0
73,51,125,1
74,417,102,1
75,991,115,0
76,650,123,0
77,0,128,1
78,111,124,0
79,51,110,1
80,197,103,1
81,234,106,1
82,218,109,0
83,812,111,0
84,341,107,0
85,740,103,0
86,35,105,0
87,995,112,0
88,761,116,0
89,488,110,0
90,20,119,1
91,401,109,0
92,418,128,0
93,407,128,1
94,495,113,1
95,549,110,1
96,762,111,1
97,490,123,1
98,538,116,1
99,412,101,1
100,412,118,1
101,684,125,1
102,524,109,1
103,679,107,1
104,123,118,1
105,45,114,0
106,639,119,1
107,834,130,0
108,672,109,1
109,902,112,0
110,18,102,0
111,973,124,0
112,903,106,0
113,964,102,0
114,991,121,1
115,910,111,0
116,429,123,0
117,689,125,1
118,4,113,0
119,938,117,0
120,455,105,1
121,888,111,1
122,634,109,0
123,161,116,0
124,41,126,1
125,719,122,0
126,683,107,1
127,470,112,0
128,413,128,0
129,556,103,0
130,202,118,0
131,431,127,1
132,756,103,0
133,322,102,1
134,533,119,1
135,417,107,1
136,635,117,1
137,406,130,1
138,478,125,0
139,123,120,1
140,608,104,0
141,249,125,0
142,910,124,1
143,706,102,1
144,3,112,0
145,505,127,1
146,734,104,0
147,528,127,1
148,906,101,1
149,179,112,1
150,513,106,1
